name,cate_1,cate_2,cate_3,area,address,lon,lat,rate,distance,tag,cate_4,link
본촌치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,삼성동,서울특별시 강남구 영동대로115길 9,37.514774499271695,127.058977586234,0.0,800.0,치킨,치킨,https://place.map.kakao.com/17190021
평양옥,한식,한식/백반/한정식,한식 음식점업,대치동,서울특별시 강남구 선릉로86길 31,37.5041585815151,127.052030646855,0.0,637.0,"육류,고기",육류/고기,https://place.map.kakao.com/1187457527
브루클린더버거조인트,패스트푸드,패스트푸드,그외 기타 음식점업,삼성동,서울특별시 강남구 봉은사로84길 10,37.5126116796616,127.055554733374,3.5,585.0,햄버거,패스트푸드,https://place.map.kakao.com/18377454
예가낙지마을,일식/수산물,낙지/오징어,한식 음식점업,삼성동,서울특별시 강남구 영동대로 513,37.5118203253706,127.059139102428,4.0,480.0,"해물,생선",해물/생선,https://place.map.kakao.com/875469542
하얼빈,중식,중국음식/중국집,중식 음식점업,삼성동,서울특별시 강남구 선릉로96길 5-14,37.506685585416896,127.049171042083,3.0,765.0,중화요리,중식,https://place.map.kakao.com/308277778
한솥,패스트푸드,도시락전문점,한식 음식점업,대치동,서울특별시 강남구 선릉로 326,37.4987612570104,127.052031026147,2.3,1110.0,도시락,패스트푸드,https://place.map.kakao.com/17019416
내림손삼계탕,닭/오리요리,삼계탕전문,한식 음식점업,삼성동,서울특별시 강남구 봉은사로112길 16-4,37.5138190794363,127.064611492239,0.0,914.0,삼계탕,국/탕,https://place.map.kakao.com/906886762
신촌설렁탕,한식,설렁탕집,한식 음식점업,삼성동,서울특별시 강남구 선릉로 530,37.5069607731686,127.047538819136,2.7,905.0,설렁탕,국/탕,https://place.map.kakao.com/27305906
전라도맛집,한식,부대찌개/섞어찌개,한식 음식점업,대치동,서울특별시 강남구 선릉로 420,37.5024863633718,127.050253504605,0.0,876.0,한식,한식,https://place.map.kakao.com/16932977
일조룡,중식,중국음식/중국집,중식 음식점업,대치동,서울특별시 강남구 삼성로 212,37.4996105819766,127.065897098053,4.5,1146.0,중화요리,중식,https://place.map.kakao.com/8533554
해중천중화요리,중식,중국음식/중국집,중식 음식점업,삼성동,서울특별시 강남구 봉은사로72길 8,37.5115546035736,127.050704176953,4.2,759.0,중화요리,중식,https://place.map.kakao.com/18278577
쿠모,양식,정통양식/경양식,서양식 음식점업,삼성동,서울특별시 강남구 봉은사로72길 4,37.51177829887649,127.050509050447,0.0,788.0,"돈까스,우동",일식/돈까스,https://place.map.kakao.com/423537148
성북동청국장,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 봉은사로104길 6,37.5139508947592,127.061917659944,4.1,791.0,"찌개,전골",국/탕,https://place.map.kakao.com/16084885
담소소사골순대,별식/퓨전요리,순대전문점,한식 음식점업,삼성동,서울특별시 강남구 선릉로112길 18,37.5113377445462,127.045039960669,3.8,1195.0,순대,곱창/막창/순대,https://place.map.kakao.com/910616806
칠랑고,양식,정통양식/경양식,서양식 음식점업,대치동,서울특별시 강남구 역삼로67길 19,37.5025870644718,127.052695185885,4.0,719.0,패밀리레스토랑,양식,https://place.map.kakao.com/115045880
새마을식당,닭/오리요리,후라이드/양념치킨,치킨 전문점,대치동,서울특별시 강남구 테헤란로64길 24,37.5033247917842,127.051430444003,1.6,737.0,"육류,고기",육류/고기,https://place.map.kakao.com/18751936
아그라,별식/퓨전요리,동남아음식전문점,기타 외국식 음식점업,삼성동,서울특별시 강남구 영동대로 513,37.5118203253706,127.059139102428,3.0,480.0,아시아음식,아시아음식,https://place.map.kakao.com/26431185
홍대돈부리,일식/수산물,음식점-일식,일식 음식점업,삼성동,서울특별시 강남구 영동대로 513,37.51293939692889,127.057100286394,2.1,591.0,일식집,일식/돈까스,https://place.map.kakao.com/17360656
죠샌드위치,분식,라면김밥분식,분식 및 김밥 전문점,삼성동,서울특별시 강남구 영동대로 513,37.5118203253706,127.059139102428,5.0,480.0,샌드위치,패스트푸드,https://place.map.kakao.com/8085311
듬북담북,양식,정통양식/경양식,서양식 음식점업,대치동,서울특별시 강남구 선릉로86길 26,37.5035171721282,127.051823864438,4.0,697.0,"해물,생선",해물/생선,https://place.map.kakao.com/13065028
김영희강남동태찜,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 삼성로95길 23,37.50738170089151,127.053946642705,4.5,338.0,"해물,생선",해물/생선,https://place.map.kakao.com/1163773154
대독장삼성역점,한식,한식/백반/한정식,한식 음식점업,대치동,서울특별시 강남구 영동대로85길 9,37.5070834352286,127.062874525423,2.7,455.0,"찌개,전골",국/탕,https://place.map.kakao.com/1608871937
유타로,일식/수산물,음식점-일식,일식 음식점업,대치동,서울특별시 강남구 선릉로86길 15,37.5035180984722,127.050817251518,4.0,766.0,일본식라면,일식/돈까스,https://place.map.kakao.com/1432554243
남도사계고운님,한식,한식/백반/한정식,한식 음식점업,대치동,서울특별시 강남구 삼성로81길 22,37.5043520020351,127.055930238825,3.8,400.0,"해물,생선",해물/생선,https://place.map.kakao.com/10165519
또래오래대치점,닭/오리요리,후라이드/양념치킨,치킨 전문점,대치동,서울특별시 강남구 역삼로88길 11,37.5031796750606,127.06146432024,5.0,594.0,치킨,치킨,https://place.map.kakao.com/21545067
네네치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,대치동,서울특별시 강남구 삼성로 417,37.5045984451458,127.057454025149,1.0,340.0,치킨,치킨,https://place.map.kakao.com/439832064
샐러드박스,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 테헤란로 421,37.5059826128027,127.052516554823,0.0,498.0,양식,양식,https://place.map.kakao.com/333339057
스시효,일식/수산물,음식점-초밥전문,일식 음식점업,삼성동,서울특별시 강남구 테헤란로 517,37.5086083814458,127.05974496335,2.8,205.0,"초밥,롤",일식/돈까스,https://place.map.kakao.com/213218328
옥상달빛,닭/오리요리,후라이드/양념치킨,치킨 전문점,삼성동,서울특별시 강남구 테헤란로 517,37.5086083814458,127.05974496335,0.0,205.0,치킨,치킨,https://place.map.kakao.com/21555353
운봉,중식,중국음식/중국집,중식 음식점업,대치동,서울특별시 강남구 삼성로 348,37.5026656109985,127.059140894154,2.4,567.0,중화요리,중식,https://place.map.kakao.com/12544567
청준닭볶이,닭/오리요리,닭도리탕전문,한식 음식점업,대치동,서울특별시 강남구 선릉로76길 23,37.5019627682194,127.052375086633,3.2,791.0,닭요리,육류/고기,https://place.map.kakao.com/16589532
최우영식당삼성점,일식/수산물,음식점-일식,일식 음식점업,삼성동,서울특별시 강남구 삼성로 620,37.514957844146096,127.052606708949,2.3,931.0,회,해물/생선,https://place.map.kakao.com/1705233277
신촌설렁탕,한식,설렁탕집,한식 음식점업,삼성동,서울특별시 강남구 봉은사로114길 32,37.5129326739394,127.065323871611,2.7,889.0,설렁탕,국/탕,https://place.map.kakao.com/27305906
미스터순두부보쌈,한식,족발/보쌈전문,한식 음식점업,삼성동,서울특별시 강남구 영동대로 513,37.51293939692889,127.057100286394,1.8,591.0,두부,한식,https://place.map.kakao.com/23401527
더펍비스트로,양식,정통양식/경양식,서양식 음식점업,삼성동,서울특별시 강남구 삼성로108길 23,37.5123354549655,127.055942803727,4.2,545.0,양식,양식,https://place.map.kakao.com/110138270
밤장어,한식,한식/백반/한정식,한식 음식점업,대치동,서울특별시 강남구 삼성로85길 33,37.5042799811461,127.054811431542,3.0,456.0,장어,해물/생선,https://place.map.kakao.com/1479760470
루샌드위치,패스트푸드,패스트푸드,그외 기타 음식점업,대치동,서울특별시 강남구 역삼로70길 28,37.4996520538745,127.054123339891,3.7,945.0,샌드위치,패스트푸드,https://place.map.kakao.com/679827933
도명골청국장,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 봉은사로114길 38,37.512653463780495,127.065338665087,0.0,870.0,한식,한식,https://place.map.kakao.com/2130836465
세광양대창,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 테헤란로83길 29,37.509270754788496,127.056931526852,3.5,195.0,"곱창,막창",곱창/막창/순대,https://place.map.kakao.com/1899088586
김밥천국,분식,라면김밥분식,분식 및 김밥 전문점,삼성동,서울특별시 강남구 삼성로 517,37.5080786526444,127.055464807235,2.0,208.0,분식,분식,https://place.map.kakao.com/16055870
자연은맛있다,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 영동대로 513,37.5118203253706,127.059139102428,3.7,480.0,한식,한식,https://place.map.kakao.com/26832746
소노야코엑스점,일식/수산물,음식점-일식,일식 음식점업,삼성동,서울특별시 강남구 영동대로 513,37.5118203253706,127.059139102428,1.1,480.0,"돈까스,우동",일식/돈까스,https://place.map.kakao.com/24001883
이남장,한식,한식/백반/한정식,한식 음식점업,대치동,서울특별시 강남구 테헤란로64길 14,37.5039518334423,127.050970103005,5.0,726.0,한식,한식,https://place.map.kakao.com/16649489
앵그리버거,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 선릉로 514,37.5055951465088,127.049150940996,0.0,793.0,햄버거,패스트푸드,https://place.map.kakao.com/2049922688
